IP,MAC,Port,Dev Name,Dev Type,Application List,os_name,os_type,os_version,Serial No
192.215.5.128,D1:BB:E6:9B:E8:2F,80,Printer,IT,"['Excel 2022', 'Skype 8.96', 'Chrome 19.0']",Cisco IOS,Cisco,10.6.7,CWFXKH500YO4NONS
192.226.237.71,3A:91:B8:30:98:90,445,Tablet,IT,"['Practo Pro', 'Tally', 'Gmail']",Windows 10,Windows,11.1.7,LXHQMTB7IOG9QYAO
192.221.234.74,A0:7C:A2:00:3C:08,445,Desktop Computer,IT,"['Tally', 'Skype 8.96', 'Excel 2022']",macOS Monterey,macOS,17.3.8,EPHTL61ZC2685X9E
192.25.37.17,58:CD:46:E3:AA:8F,80,Mobile Phone,IT,"['Outlook 16.0', 'PDF viewer', 'Tally']",Windows 10,Windows,10.3.6,CO52LL8BVQWDDYRM
192.177.51.235,15:10:B1:83:E1:0E,80,Tablet,IT,"['Practo Pro', 'Chrome 19.0', 'Tally']",Windows 10,Windows,13.7.7,V41UJCRYW38NVX5A
192.77.104.153,23:08:A9:64:00:7E,445,Tablet,IT,"['Gmail', 'Excel 2022', 'Skype 8.96']",Cisco IOS,Cisco,11.3.2,MPT8MJPBPQEVYREH
192.255.93.190,7C:C8:BE:65:F3:5D,445,Laptop Computer,IT,"['Chrome 19.0', 'Gmail', 'Skype 8.96']",Ubuntu 22.04 LTS,Ubuntu,18.2.5,OTI64K3N1NDYPGFT
192.183.175.201,7A:89:D4:3E:B1:6A,445,Laptop Computer,IT,"['Practo Pro', 'Skype 8.96', 'PDF viewer']",Cisco IOS,Cisco,10.0.5,1ARKNXWEHOPKPI7T
192.138.57.204,CC:16:41:49:4E:1F,445,Tablet,IT,"['Practo Pro', 'Outlook 16.0', 'Skype 8.96']",Windows 10,Windows,19.2.4,06WSJZ597JELISQQ
192.52.173.16,84:80:B1:9F:60:B2,445,Laptop Computer,IT,"['PDF viewer', 'Outlook 16.0', 'Excel 2022']",Ubuntu 22.04 LTS,Ubuntu,11.8.8,JVUMLMEKHSFGN69P
